Symbol,Name,Sector,SubIndustry,Description
AAPL,Apple Inc.,Technology,Consumer Electronics,Designs manufactures and markets smartphones personal computers tablets wearables and accessories.
MSFT,Microsoft Corporation,Technology,Software Infrastructure,Develops and supports software services devices and solutions worldwide.
GOOGL,Alphabet Inc.,Technology,Internet Services,Provides online advertising services artificial intelligence cloud computing and other digital services.
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet Retail,Online retailer and technology company providing e-commerce cloud computing and digital streaming services.
META,Meta Platforms Inc.,Communication_Services,Digital Advertising,Develops social media platforms and technologies for digital communication and virtual reality.
NVDA,NVIDIA Corporation,Technology,Semiconductors,Designs graphics processing units for gaming and professional markets.
JPM,JPMorgan Chase & Co.,Financial_Services,Banks,Provides financial services including banking investment banking and asset management.
JNJ,Johnson & Johnson,Healthcare,Pharmaceuticals,Develops medical devices pharmaceutical and consumer packaged goods.
V,Visa Inc.,Financial_Services,Payment Services,Facilitates electronic funds transfers worldwide primarily through credit and debit cards.
PG,Procter & Gamble Co.,Consumer_Staples,Household Products,Provides branded consumer packaged goods worldwide.
TSLA,Tesla Inc.,Consumer Discretionary,Automotive,Designs manufactures and sells electric vehicles and energy generation products.
UNH,UnitedHealth Group Inc.,Healthcare,Healthcare Services,Provides healthcare coverage services and information technology solutions.
HD,Home Depot Inc.,Consumer Discretionary,Home Improvement Retail,Retails home improvement construction products and services.
MA,Mastercard Inc.,Financial_Services,Payment Services,Provides transaction processing and payment-related services worldwide.
BAC,Bank of America Corp.,Financial_Services,Banks,Provides banking and financial products and services.
AVGO,Broadcom Inc.,Technology,Semiconductors,Designs and supplies semiconductor and infrastructure software solutions.
XOM,Exxon Mobil Corp.,Energy,Oil & Gas,Engages in exploration production and sale of crude oil and natural gas.
PFE,Pfizer Inc.,Healthcare,Pharmaceuticals,Develops and produces medicines and vaccines.
CSCO,Cisco Systems Inc.,Technology,Communication Equipment,Designs and sells networking technology and services.
CVX,Chevron Corp.,Energy,Oil & Gas,Engages in integrated energy and chemicals operations worldwide.





